data,label
"{'id': 'KG0OUA', 'data': 'Good morning', 'message_order': 2, 'comments': ['']}",location
"{'id': 'L9DC9H', 'data': 'Location', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'ZQR6R5', 'data': 'hi', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'RH0M4E', 'data': 'Hi', 'message_order': 4, 'comments': ['']}",greeting
"{'id': 'WLVX8I', 'data': 'Hello', 'message_order': 1, 'comments': ['']}",greeting
"{'id': 'M2IRWL', 'data': 'sir', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': '5MXRNL', 'data': 'K', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': '609W8Y', 'data': 'On thanks', 'message_order': 2, 'comments': ['']}",dontMeetRequirements
"{'id': 'T3V6IY', 'data': 'Hii', 'message_order': 3, 'comments': ['']}",dontMeetRequirements
"{'id': 'GI07N1', 'data': 'Sir I dnt have two wheeler', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'GYJWFS', 'data': 'Hi', 'message_order': 1, 'comments': ['']}",greeting
"{'id': '6ZQLO7', 'data': 'Hlo', 'message_order': 3, 'comments': ['']}",greeting
"{'id': '1XYSRQ', 'data': '📷 Good mrng', 'message_order': 4, 'comments': ['']}",greeting
"{'id': 'C7747X', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",greeting
"{'id': 'WU1MHH', 'data': 'Gm', 'message_order': 3, 'comments': ['']}",notInterested
"{'id': 'AL0YY2', 'data': 'Yes but no bikes sorry', 'message_order': 5, 'comments': ['']}",notInterested
"{'id': 'NKB41P', 'data': 'Where it is', 'message_order': 1, 'comments': ['']}",whoAreYou
"{'id': 'HKWKR6', 'data': 'Job placement company', 'message_order': 4, 'comments': ['']}",greeting
"{'id': 'OGBMAM', 'data': 'were', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'J7F5AP', 'data': 'Hiii', 'message_order': 5, 'comments': ['']}",dontMeetRequirements
"{'id': 'OAMYVS', 'data': 'No', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'R6Z32R', 'data': 'Hii', 'message_order': 0, 'comments': ['']}",greeting
"{'id': 'W9VE02', 'data': 'Thank you', 'message_order': 1, 'comments': ['']}",dontMeetRequirements
"{'id': 'V952V0', 'data': 'Where is the location?', 'message_order': 1, 'comments': ['']}",notInterested
"{'id': '7YXU1E', 'data': 'Nahi', 'message_order': 3, 'comments': ['']}",greeting
"{'id': 'Z7UF71', 'data': 'Marathi', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'GZLTJC', 'data': 'Ok', 'message_order': 1, 'comments': ['']}",whoAreYou
"{'id': '2YAC8M', 'data': 'Iska location kya hoga', 'message_order': 2, 'comments': ['']}",location
"{'id': '8I1GCO', 'data': 'Poda ...', 'message_order': 1, 'comments': ['']}",notInterested
"{'id': 'MY3Q1J', 'data': 'Ok', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'YBEI5V', 'data': 'Ok', 'message_order': 2, 'comments': ['']}",location
"{'id': '0C9Y5K', 'data': 'K', 'message_order': 3, 'comments': ['']}",location
"{'id': 'UNWCX4', 'data': 'Ldhu', 'message_order': 3, 'comments': ['']}",greeting
"{'id': 'YO8Z66', 'data': 'hi', 'message_order': 2, 'comments': ['']}",greeting
"{'id': 'XWSC3M', 'data': 'I am not interested', 'message_order': 1, 'comments': ['']}",greeting
"{'id': 'N84XF2', 'data': 'How r u', 'message_order': 4, 'comments': ['']}",location
"{'id': 'HTRWUM', 'data': 'Hi..', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'QS76OO', 'data': 'K', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'OW1O0D', 'data': 'Hi', 'message_order': 0, 'comments': ['']}",greeting
"{'id': 'HKNA96', 'data': 'Hiio', 'message_order': 1, 'comments': ['']}",notInterested
"{'id': '8CWG23', 'data': 'Hello', 'message_order': 4, 'comments': ['']}",notInterested
"{'id': '5ENIE2', 'data': 'Ok thanks 🙏🏻', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'WE94Y2', 'data': 'Ok', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': '986LDG', 'data': 'Learning licence hai', 'message_order': 1, 'comments': ['']}",notInterested
"{'id': 'S4914B', 'data': 'Okkk', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'UUNNK7', 'data': 'Bhaiii', 'message_order': 1, 'comments': ['']}",greeting
"{'id': '8H0AIC', 'data': 'Ok', 'message_order': 4, 'comments': ['']}",whoAreYou
"{'id': 'S5XV4G', 'data': 'Hey', 'message_order': 3, 'comments': ['']}",greeting
"{'id': 'J13L6Z', 'data': 'Msg kyu karte hai', 'message_order': 2, 'comments': ['']}",notInterested
"{'id': '0FJ0SD', 'data': 'Hi sir', 'message_order': 2, 'comments': ['']}",greeting
"{'id': 'PL4IXA', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'L2MVZC', 'data': 'Hi ..', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'N63LPE', 'data': 'How are u', 'message_order': 1, 'comments': ['']}",notInterested
"{'id': 'Q29W1E', 'data': 'Hi sir', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'B6XAGF', 'data': 'I have learning licence', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': '64HXXB', 'data': 'Hii', 'message_order': 4, 'comments': ['']}",whoAreYou
"{'id': 'SG3868', 'data': 'Hii', 'message_order': 4, 'comments': ['']}",whoAreYou
"{'id': '3O1NCP', 'data': 'Hii', 'message_order': 1, 'comments': ['']}",whoAreYou
"{'id': 'GE2L4N', 'data': '📷 G😊😊D Morning', 'message_order': 3, 'comments': ['']}",location
"{'id': 'OBMETO', 'data': 'okay', 'message_order': 4, 'comments': ['']}",greeting
"{'id': 'Y2G2AI', 'data': 'Ok', 'message_order': 4, 'comments': ['']}",notInterested
"{'id': '714KZV', 'data': 'k', 'message_order': 2, 'comments': ['']}",greeting
"{'id': 'WLAG4Y', 'data': ""Don't msg"", 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'W1IP7Z', 'data': 'I have learning license', 'message_order': 4, 'comments': ['']}",notInterested
"{'id': 'LK3Z2Z', 'data': 'Lerner license only', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': '9QA9O7', 'data': 'Ok', 'message_order': 2, 'comments': ['']}",greeting
"{'id': 'Y9BH9F', 'data': 'OK bye dear t c good night', 'message_order': 3, 'comments': ['']}",notInterested
"{'id': 'XWBY4G', 'data': 'Thanks', 'message_order': 2, 'comments': ['']}",notInterested
"{'id': 'NJRYHH', 'data': 'Which location', 'message_order': 2, 'comments': ['']}",greeting
"{'id': '4UPRAA', 'data': 'ohhhh sry', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'MCR8C2', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'I4QYET', 'data': 'Kidar hai job', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'PTTKK3', 'data': 'Hallo', 'message_order': 4, 'comments': ['']}",whoAreYou
"{'id': 'P50QW5', 'data': 'Area', 'message_order': 0, 'comments': ['']}",greeting
"{'id': '1TEYY2', 'data': 'I have LR licence', 'message_order': 3, 'comments': ['']}",dontMeetRequirements
"{'id': 'CBHTCZ', 'data': 'Hello Sir / Madam, sorry but I don’t have bike 🏍', 'message_order': 4, 'comments': ['']}",notInterested
"{'id': 'U237AR', 'data': 'Ok', 'message_order': 5, 'comments': ['']}",location
"{'id': 'YQL2EV', 'data': 'No', 'message_order': 0, 'comments': ['']}",dontMeetRequirements
"{'id': 'UXO1AZ', 'data': 'No one', 'message_order': 3, 'comments': ['']}",dontMeetRequirements
"{'id': 'L9XNMY', 'data': 'Good morning', 'message_order': 1, 'comments': ['']}",greeting
"{'id': 'AIL1VG', 'data': 'Hy', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'YITJGF', 'data': 'Hai good morning', 'message_order': 0, 'comments': ['']}",greeting
"{'id': 'TNL84A', 'data': 'Ok', 'message_order': 4, 'comments': ['']}",notInterested
"{'id': 'QNPBDD', 'data': ""Hai I'm kishor"", 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'AX28KL', 'data': 'Hi', 'message_order': 5, 'comments': ['']}",location
"{'id': 'K7VCBE', 'data': 'I applied', 'message_order': 3, 'comments': ['']}",location
"{'id': 'Y25I5H', 'data': 'Y', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'ID97YE', 'data': 'No', 'message_order': 3, 'comments': ['']}",location
"{'id': 'Q6UIBB', 'data': 'Kkk', 'message_order': 0, 'comments': ['']}",greeting
"{'id': 'IAN3EE', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",notInterested
"{'id': 'VHXZKV', 'data': 'Hi', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': '6N1P2O', 'data': 'Where should I come', 'message_order': 5, 'comments': ['']}",notInterested
"{'id': 'IP0Y59', 'data': 'Ledu', 'message_order': 3, 'comments': ['']}",greeting
"{'id': '3ZL96N', 'data': 'I am interested in that job but no bike', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'H378HD', 'data': 'Not interested', 'message_order': 2, 'comments': ['']}",notInterested
"{'id': 'F92ZYT', 'data': 'Already I have given dis answer before 3days back', 'message_order': 1, 'comments': ['']}",greeting
"{'id': 'X4YOO7', 'data': 'How r u', 'message_order': 0, 'comments': ['']}",greeting
"{'id': 'BLZNAI', 'data': 'Hello', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'EO89PT', 'data': 'Hi', 'message_order': 2, 'comments': ['']}",greeting
"{'id': 'CJC8R7', 'data': 'Ok', 'message_order': 3, 'comments': ['']}",greeting
"{'id': 'NCAOB5', 'data': 'Hiii', 'message_order': 1, 'comments': ['']}",whoAreYou
"{'id': 'AOXR9G', 'data': 'Haa hai', 'message_order': 5, 'comments': ['']}",notInterested
"{'id': '3EQWRT', 'data': 'K', 'message_order': 1, 'comments': ['']}",whoAreYou
"{'id': 'GBWW49', 'data': 'inserted no', 'message_order': 3, 'comments': ['']}",dontMeetRequirements
"{'id': 'Q3CNYP', 'data': 'Helo', 'message_order': 0, 'comments': ['']}",notInterested
"{'id': '0F6INN', 'data': 'Hai', 'message_order': 2, 'comments': ['']}",notInterested
"{'id': 'LGS2C2', 'data': 'Two wheeler aahe', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'FC5ADO', 'data': 'Hello', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'GDHCBH', 'data': 'Hi', 'message_order': 3, 'comments': ['']}",location
"{'id': 'S1MT2F', 'data': 'Hi', 'message_order': 5, 'comments': ['']}",greeting
"{'id': 'SP2TPW', 'data': 'Ok', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'YYGGLH', 'data': 'Hi', 'message_order': 2, 'comments': ['']}",greeting
"{'id': 'MB7OTA', 'data': 'hi', 'message_order': 4, 'comments': ['']}",whoAreYou
"{'id': '5KFO2B', 'data': 'Ok', 'message_order': 2, 'comments': ['']}",dontMeetRequirements
"{'id': '6NKGQQ', 'data': 'Hiii', 'message_order': 2, 'comments': ['']}",greeting
"{'id': 'K3JSO1', 'data': 'Hii', 'message_order': 2, 'comments': ['']}",dontMeetRequirements
"{'id': 'D5BG34', 'data': 'Hi', 'message_order': 2, 'comments': ['']}",greeting
"{'id': 'QJGOQM', 'data': 'Kkkkk', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'THBPPW', 'data': 'Hii', 'message_order': 2, 'comments': ['']}",notInterested
"{'id': '5S2ARJ', 'data': 'Location', 'message_order': 3, 'comments': ['']}",dontMeetRequirements
"{'id': 'UNKG6S', 'data': 'K', 'message_order': 4, 'comments': ['']}",notInterested
"{'id': 'SAP5X2', 'data': 'Good Morning', 'message_order': 4, 'comments': ['']}",greeting
"{'id': 'SZ9R07', 'data': 'Driving licence process', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': '5AC95I', 'data': 'Hii', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'HZRPEH', 'data': 'Location kya hai sir', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'KFVKKX', 'data': 'Haii', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'ZQDUW3', 'data': 'hii', 'message_order': 1, 'comments': ['']}",whoAreYou
"{'id': 'PAYXKO', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",dontMeetRequirements
"{'id': 'YIAGGH', 'data': 'Ok', 'message_order': 5, 'comments': ['']}",greeting
"{'id': 'SDU5B6', 'data': 'Ll', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': '3OKT4Y', 'data': 'No', 'message_order': 2, 'comments': ['']}",greeting
"{'id': '1C33WL', 'data': 'Sorry', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'VS4VEQ', 'data': 'Swiggy nai karna he merko', 'message_order': 2, 'comments': ['']}",notInterested
"{'id': 'VHZG00', 'data': 'Hii', 'message_order': 1, 'comments': ['']}",location
"{'id': '3JZ5TP', 'data': 'Ok', 'message_order': 1, 'comments': ['']}",greeting
"{'id': 'CRJVZ6', 'data': 'G sir', 'message_order': 5, 'comments': ['']}",greeting
"{'id': 'Z84STB', 'data': 'Kuthe aahe vacancey', 'message_order': 3, 'comments': ['']}",greeting
"{'id': '7IZQWA', 'data': ""Sry sir now I'm not interested on job"", 'message_order': 2, 'comments': ['']}",notInterested
"{'id': '2RXHW0', 'data': 'No', 'message_order': 1, 'comments': ['']}",greeting
"{'id': 'JOJLVL', 'data': 'Ok', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'F11U3U', 'data': 'Okok', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'D0BZWO', 'data': 'No', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'M3VRPS', 'data': 'Hi', 'message_order': 0, 'comments': ['']}",notInterested
"{'id': '00KNY3', 'data': 'I have LLR', 'message_order': 3, 'comments': ['']}",notInterested
"{'id': 'V6D17O', 'data': 'In which area', 'message_order': 0, 'comments': ['']}",dontMeetRequirements
"{'id': '9F4373', 'data': 'Location kon si rhe gi sir g', 'message_order': 3, 'comments': ['']}",notInterested
"{'id': 'UONOCC', 'data': 'No', 'message_order': 4, 'comments': ['']}",whoAreYou
"{'id': 'SZ4KBY', 'data': 'Where office', 'message_order': 1, 'comments': ['']}",whoAreYou
"{'id': '5WBTTJ', 'data': 'Helo', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'ORC294', 'data': 'Good morning', 'message_order': 1, 'comments': ['']}",whoAreYou
"{'id': 'URA4PO', 'data': 'Hi sir', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': '78HXUO', 'data': 'Ok', 'message_order': 5, 'comments': ['']}",greeting
"{'id': 'OO1WHQ', 'data': 'Ok', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'S0YZGI', 'data': 'Ok', 'message_order': 3, 'comments': ['']}",greeting
"{'id': '62F501', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",notInterested
"{'id': '1A3DOF', 'data': 'Hiiii', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'WEGQMG', 'data': 'Hi', 'message_order': 5, 'comments': ['']}",dontMeetRequirements
"{'id': 'ZBY4F2', 'data': 'Hi', 'message_order': 0, 'comments': ['']}",greeting
"{'id': '5W13ZG', 'data': 'Hi', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'FX5SAO', 'data': 'Hii', 'message_order': 5, 'comments': ['']}",dontMeetRequirements
"{'id': '9BMDK8', 'data': 'I have my learning license... Is it OK for job', 'message_order': 4, 'comments': ['']}",greeting
